track_id,audio_path,status,reason
64594,data\fma_small\fma_small\064\064594.mp3,ok,
144545,data\fma_small\fma_small\144\144545.mp3,ok,
49066,data\fma_small\fma_small\049\049066.mp3,ok,
152545,data\fma_small\fma_small\152\152545.mp3,ok,
92206,data\fma_small\fma_small\092\092206.mp3,ok,
148211,data\fma_small\fma_small\148\148211.mp3,ok,
140875,data\fma_small\fma_small\140\140875.mp3,ok,
129268,data\fma_small\fma_small\129\129268.mp3,ok,
11770,data\fma_small\fma_small\011\011770.mp3,ok,
42031,data\fma_small\fma_small\042\042031.mp3,ok,
75786,data\fma_small\fma_small\075\075786.mp3,ok,
56499,data\fma_small\fma_small\056\056499.mp3,ok,
134486,data\fma_small\fma_small\134\134486.mp3,ok,
42138,data\fma_small\fma_small\042\042138.mp3,ok,
25028,data\fma_small\fma_small\025\025028.mp3,ok,
10807,data\fma_small\fma_small\010\010807.mp3,ok,
117631,data\fma_small\fma_small\117\117631.mp3,ok,
145729,data\fma_small\fma_small\145\145729.mp3,ok,
134940,data\fma_small\fma_small\134\134940.mp3,ok,
63805,data\fma_small\fma_small\063\063805.mp3,ok,
146681,data\fma_small\fma_small\146\146681.mp3,ok,
127182,data\fma_small\fma_small\127\127182.mp3,ok,
9550,data\fma_small\fma_small\009\009550.mp3,ok,
73171,data\fma_small\fma_small\073\073171.mp3,ok,
4239,data\fma_small\fma_small\004\004239.mp3,ok,
36275,data\fma_small\fma_small\036\036275.mp3,ok,
89486,data\fma_small\fma_small\089\089486.mp3,ok,
145744,data\fma_small\fma_small\145\145744.mp3,ok,
109905,data\fma_small\fma_small\109\109905.mp3,ok,
105720,data\fma_small\fma_small\105\105720.mp3,ok,
67007,data\fma_small\fma_small\067\067007.mp3,ok,
38781,data\fma_small\fma_small\038\038781.mp3,ok,
123981,data\fma_small\fma_small\123\123981.mp3,ok,
127274,data\fma_small\fma_small\127\127274.mp3,ok,
137593,data\fma_small\fma_small\137\137593.mp3,ok,
63908,data\fma_small\fma_small\063\063908.mp3,ok,
4685,data\fma_small\fma_small\004\004685.mp3,ok,
203,data\fma_small\fma_small\000\000203.mp3,ok,
42046,data\fma_small\fma_small\042\042046.mp3,ok,
40541,data\fma_small\fma_small\040\040541.mp3,ok,
13804,data\fma_small\fma_small\013\013804.mp3,ok,
57078,data\fma_small\fma_small\057\057078.mp3,ok,
